age,weight-(kg),max-bpm,avg-bpm,resting-bpm,session-duration-(hours),workout-frequency-(days/week),experience-level,daily-meals-frequency,physical-exercise,sugar-g,sodium-mg,cholesterol-mg,serving-size-g,prep-time-min,cook-time-min,rating,pct-maxhr,gender_Male,workout-type_HIIT,workout-type_Strength,workout-type_Yoga,diet-type_Keto,diet-type_Low-Carb,diet-type_Paleo,diet-type_Vegan,diet-type_Vegetarian,cooking-method_Boiled,cooking-method_Fried,cooking-method_Grilled,cooking-method_Raw,cooking-method_Roasted,cooking-method_Steamed,split
50,86.69,182,123,67,0.77,2,1,2,1,20.31,825,119,240.88,48,111,1.23,0.67,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,train
36,68.92,165,126,65,1.23,3,1,2,0,10.62,90,34,447.45,51,38,1.59,0.77,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,train
25,104.61,174,156,67,1.34,3,2,4,0,43.16,2082,260,470.85,50,37,4.0,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,train
32,64.69,186,128,63,0.57,2,1,2,1,42.2,1926,42,225.88,42,88,2.8,0.69,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,train
24,62.91,174,142,61,1.21,3,1,4,0,9.43,1000,235,268.37,42,35,3.61,0.81,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,train
27,58.57,198,135,65,1.31,4,2,3,0,2.93,844,172,211.3,28,80,1.63,0.68,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,train
54,116.55,172,143,56,1.03,4,2,3,0,31.6,1319,39,231.18,54,39,4.38,0.83,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,train
52,60.26,182,125,64,1.6,4,3,2,1,48.89,2309,52,106.16,47,70,1.91,0.68,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,train
18,94.83,190,143,50,1.21,4,2,2,1,25.03,848,297,295.91,60,16,2.59,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,train
26,72.41,163,121,50,1.37,2,1,2,1,34.02,315,244,395.73,50,85,3.68,0.74,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,train
52,73.17,171,121,56,1.45,3,2,3,1,44.86,1931,189,471.39,56,50,4.1,0.71,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,train
29,75.25,175,149,57,1.3,4,2,3,1,2.45,394,123,191.52,10,95,2.23,0.85,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,train
25,59.02,185,161,54,1.62,5,3,4,0,4.01,107,277,411.87,51,118,2.92,0.87,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
